Game Name,Description,Link,Image Filename
Kitty Powers' Matchmaker,"Kitty Powers’ Matchmaker is a hilarious dating simulator with a difference. Manage your own matchmaking agency with the guidance of your fabulous boss, drag queen diva Kitty Powers!",https://store.steampowered.com/app/285740/Kitty_Powers_Matchmaker/,Matchmaker.jpg
Life is Strange,"Life is Strange is an award-winning and critically acclaimed episodic adventure game that allows the player to rewind time and affect the past, present and future.",https://store.steampowered.com/app/319630/Life_is_Strange__Episode_1/,Life Is Strange.jpg
My Ex-Boyfriend the Space Tyrant,My Ex-Boyfriend the Space Tyrant is a traditional point-and-click adventure which stands out for its gay cast and eye-catching visuals.,https://store.steampowered.com/app/312970/My_ExBoyfriend_the_Space_Tyrant/,My Ex-bf is a space.jpg
Night in the Woods,"NIGHT IN THE WOODS is an adventure game focused on exploration, story, and character, featuring dozens of characters to meet and lots to do across a lush, vibrant world.",https://store.steampowered.com/app/481510/Night_in_the_Woods/,NightInTheWoods.jpg
Pride Run,"Pride Run is a celebration of Pride events around the world and all things LGBTQ+. Dance your way through the streets of the most iconic cities around the globe in this uniquely awesome RTS - Rhythm Action game. The better you dance, the more people you attract to your parade.",https://store.steampowered.com/app/848330/Pride_Run/,PrideRun.jpg
Mass Effect 2,"Recruit. Explore. Control.Two years after Commander Shepard repelled invading Reapers bent on the destruction of organic life, a mysterious new enemy has emerged. On the fringes of known space, something is silently abducting entire human colonies.",https://store.steampowered.com/app/24980/Mass_Effect_2/,Mass Effect 2.jpg
Sayonara Wild Hearts,"Sayonara Wild Hearts is a dreamy arcade game about riding motorcycles, skateboarding, dance battling, shooting lasers, wielding swords, and breaking hearts at 200 mph.",https://store.steampowered.com/app/1122720/Sayonara_Wild_Hearts/,Sayonara.jpg
Your Dry Delight,"Set in 1920s Prohibition-era America, this romantic comedy follows Detective Richter and his adventures as he attempts to unravel Cleveland's liquor industry.",https://store.steampowered.com/app/913010/Your_Dry_Delight/,YourDryDelight.jpg
Tacoma,"Tacoma is a sci-fi narrative adventure from the creators of Gone Home. Set aboard a high-tech space station in the year 2088, explore every detail of how the station’s crew lived and worked, finding the clues that add up to a gripping story of trust, fear, and resolve in the face of disaster.",https://store.steampowered.com/app/343860/Tacoma/,Tacoma.jpg
Your Royal Gayness,"The library is on fire, cats have overrun the city and a wolf is munching on grandmothers in the forest. On top of that, princesses are knocking on your door, hungry for marriage! Survive royal life as a gay prince in this ultimate fairytale parody game!",https://store.steampowered.com/app/765210/Your_Royal_Gayness/,YourRoyalGayness.jpg
The Outer Worlds,"The Outer Worlds is a new single-player sci-fi RPG from Obsidian Entertainment and Private Division. As you explore a space colony, the character you decide to become will determine how this player-driven story unfolds. In the corporate equation for the colony, you are the unplanned variable.",https://store.steampowered.com/app/578650/The_Outer_Worlds/,OuterWorlds.jpg
The Red Strings Club,"The Red Strings Club is a cyberpunk narrative experience about fate and happiness featuring the extensive use of pottery, bartending and impersonating people on the phone to take down a corporate conspiracy.",https://store.steampowered.com/app/589780/The_Red_Strings_Club/,RedStringsClub.jpg
We Know the Devil,"WE KNOW THE DEVIL is a visual novel about teens reluctantly fighting the devil at summer camp. Follow meangirl Neptune, tomboy Jupiter, and shy shy Venus as they get to know each other--but one always gets left out.",https://store.steampowered.com/app/435300/We_Know_the_Devil/,WeKnowTheDevil.jpg
Later Daters,"Welcome to Ye OLDE! Your new retirement paradise. Date as an octogenarian and find somebody to love, or just get your kicks in while the getting is good. Remember, if the chairs are rockin', don’t come a-knockin. Part One out now!",https://store.steampowered.com/app/1040390/Later_Daters/,Later Daters.jpg
Who We Are Now,"Who We Are Now is a queer, post-apocalyptic visual novel set ten years after a nuclear war scoured the earth. It follows Wes, a young man who, drowning in the memories of everyone he's lost, returns to a settlement called Home in search of something to ease his pain.",https://store.steampowered.com/app/1056520/Who_We_Are_Now/,WhoWeAreNow.jpg
Hustle Cat,"You are Avery Grey, the newest employee at a popular cat cafe called A Cat's Paw. The coffee's good and the staff is friendly (and kinda cute!) but mysterious. One day, you find a strange book in the basement, with letters you can't quite read...",https://store.steampowered.com/app/453340/Hustle_Cat/,HustleCat.jpg
Monster Prom,"You have 3 weeks to get a date for Monster Prom! Go through absurd and funny situations, raise your stats and seduce one of your classmates. Beautiful art, bold, unapologetic dialogue and hard choices make up this Multiplayer (1-4 players) Dating Sim. Be your worst self.",https://store.steampowered.com/app/743450/Monster_Prom/,MonProm.jpg
Newfound Courage,"You're a young man named Alex who arrives in the cliffside town of Silverpine. Explore the town's many mysteries and meet its colourful townsfolk, while you grow closer to a kind-hearted local named Jake. Can the two of you save the town from the impending doom brewing inside the mysterious Vault?",https://store.steampowered.com/app/893790/Newfound_Courage/,NewfoundCourage.jpg
Ace in Space,"Your name is Adrian Clarke and you've been given the opportunity to live the rest of your life on a distant planet under the watchful eyes of benevolent robots. Help shape society on T-3R4, build relationships with the other settlers, and keep Earth updated through your blog!",https://store.steampowered.com/app/1220710/Ace_In_Space/,AceInSpace.jpg
